gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
6150	-10362.4273	-2.073	-0.3465	0.8696	17.9776	12.0131	16.557	11.9228	0.102	-1.8758	1.8353	2.6187	7.5525	1.8353	1.8353	0.7241	0.9949	0.0051
6160	-10485.8277	-2.073	-0.3468	0.8737	17.382	14.1026	16.557	11.9228	0.1323	-1.9486	1.8282	2.5983	7.2954	1.8282	1.8282	0.7288	0.9903	0.0097
6170	-10492.3749	-2.0427	-0.3468	0.8746	18.479	12.2195	16.557	11.9228	0.0995	-1.8565	1.7998	2.6827	7.2245	1.7998	1.7998	0.7247	0.9927	0.0073
6180	-10530.5453	-2.003	-0.3612	0.8279	17.1959	12.2195	16.557	11.9228	0.1079	-1.9433	1.7328	2.6403	6.7445	1.7328	1.7328	0.7348	0.9936	0.0064
6190	-10515.3683	-2.025	-0.3519	0.8362	17.1959	13.1639	15.436	11.9228	0.1061	-1.9194	1.737	2.6205	6.6484	1.737	1.737	0.7164	0.993	0.007
6200	-10504.1082	-1.9735	-0.3519	0.7972	18.0389	13.1639	14.3731	12.6992	0.1368	-1.7868	1.8155	2.6757	7.3244	1.8155	1.8155	0.7191	0.9941	0.0059
6210	-10479.2729	-1.9952	-0.3652	0.8251	19.6927	13.1639	15.0769	11.9973	0.1234	-1.7966	1.7146	2.6639	6.7516	1.7146	1.7146	0.7269	0.9915	0.0085
6220	-10528.2271	-2.0204	-0.3537	0.8297	19.6927	14.4473	14.6246	11.9973	0.1152	-1.8369	1.7375	2.6379	6.3354	1.7375	1.7375	0.7244	0.9902	0.0098
6230	-10499.0074	-2.0068	-0.3537	0.8038	18.7662	13.3519	14.6246	11.9973	0.1277	-1.8522	1.7147	2.6599	7.1039	1.7147	1.7147	0.7198	0.9941	0.0059
6240	-10337.3846	-2.0453	-0.3531	0.8189	17.6429	12.7313	14.6246	11.9973	0.1254	-1.8314	1.6848	2.6604	7.4428	1.6848	1.6848	0.7311	0.9949	0.0051
6250	-10408.8326	-2.0829	-0.3471	0.8699	17.6429	12.8255	14.6246	11.9973	0.1464	-1.8004	1.6848	2.7098	7.2443	1.6848	1.6848	0.7056	0.995	0.005
6260	-10471.8405	-2.0555	-0.3471	0.8476	17.6429	12.8255	15.3022	11.8191	0.1294	-1.7201	1.6782	2.7256	7.3343	1.6782	1.6782	0.7094	0.9936	0.0064
6270	-10385.222	-2.1012	-0.3471	0.872	18.2843	12.9164	15.3022	12.8513	0.1406	-1.7942	1.6779	2.6691	7.2256	1.6779	1.6779	0.7142	0.9937	0.0063
6280	-10378.0983	-2.1382	-0.3526	0.8954	19.0198	12.9164	16.3099	12.7326	0.1199	-1.7948	1.659	2.6656	6.9041	1.659	1.659	0.7309	0.9898	0.0102
6290	-10354.294	-2.1159	-0.347	0.9005	19.0113	12.9164	16.3099	12.7326	0.1291	-1.7948	1.6926	2.6864	7.4129	1.6926	1.6926	0.7273	0.9951	0.0049
6300	-10410.7925	-2.1152	-0.3481	0.8868	19.0113	12.6642	16.8247	12.7326	0.1356	-1.8324	1.7062	2.6204	7.8247	1.7062	1.7062	0.7252	0.9933	0.0067
6310	-10397.8099	-2.1291	-0.3424	0.8836	19.0113	12.6642	16.8247	12.7326	0.1232	-1.7848	1.8089	2.6204	7.6148	1.8089	1.8089	0.7226	0.995	0.005
6320	-10408.3448	-2.1401	-0.3424	0.885	19.1582	12.6642	16.8247	12.7326	0.1335	-1.8492	1.7457	2.6901	7.0065	1.7457	1.7457	0.7095	0.9932	0.0068
6330	-10398.8494	-2.0696	-0.3424	0.8335	18.2101	12.6642	15.8848	12.7326	0.13	-1.8174	1.6812	2.6366	7.5103	1.6812	1.6812	0.7135	0.9919	0.0081
6340	-10410.6225	-2.0511	-0.354	0.8493	18.2101	12.6642	14.5827	12.7326	0.1018	-1.8802	1.766	2.63	5.9669	1.766	1.766	0.7169	0.9895	0.0105
6350	-10500.8834	-2.0021	-0.354	0.8128	17.9423	12.6642	15.6143	12.7326	0.1214	-1.8679	1.7493	2.611	5.79	1.7493	1.7493	0.7355	0.9852	0.0148
6360	-10371.9843	-2.008	-0.354	0.8287	17.9423	12.6642	15.6143	11.3441	0.1402	-1.8323	1.7568	2.6374	6.2052	1.7568	1.7568	0.724	0.9894	0.0106
6370	-10541.5856	-2.0409	-0.3488	0.8366	17.9423	12.0922	15.0894	11.3441	0.1205	-1.8482	1.7731	2.6667	6.3573	1.7731	1.7731	0.7164	0.9858	0.0142
6380	-10512.2645	-1.9976	-0.3488	0.8022	17.205	12.0922	15.3846	11.6695	0.1052	-1.8293	1.7089	2.6332	6.1311	1.7089	1.7089	0.7215	0.9896	0.0104
